case_id,sample_index,layer,target_devices,size_label,nominal_bytes_per_rank,raw_batch_size,merge_adjacent_pairs,scale_factor,source_csv,generated_csv,collective_json,matrix_rows,matrix_cols,avg_row_bytes,row_bytes_min,row_bytes_max,total_bytes
layer1_group3_64devices_256MB,3,1,64,256MB,268435456,512,False,16,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_3.csv,evaluation_assets/csv/synthetic/64devices/layer1_group3_64devices_256MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group3_64devices_256MB.json,64,64,264354816.0,242876416,268435456,16918708224
layer1_group0_64devices_2GB,0,1,64,2GB,2147483648,512,False,128,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_0.csv,evaluation_assets/csv/synthetic/64devices/layer1_group0_64devices_2GB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group0_64devices_2GB.json,64,64,2111578112.0,1924136960,2146959360,135140999168
layer1_group1_64devices_2GB,1,1,64,2GB,2147483648,512,False,128,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_1.csv,evaluation_assets/csv/synthetic/64devices/layer1_group1_64devices_2GB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group1_64devices_2GB.json,64,64,2115166208.0,1945632768,2147483648,135370637312
layer1_group2_64devices_2GB,2,1,64,2GB,2147483648,512,False,128,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_2.csv,evaluation_assets/csv/synthetic/64devices/layer1_group2_64devices_2GB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group2_64devices_2GB.json,64,64,2114002944.0,1907884032,2147483648,135296188416
layer1_group3_64devices_2GB,3,1,64,2GB,2147483648,512,False,128,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_3.csv,evaluation_assets/csv/synthetic/64devices/layer1_group3_64devices_2GB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group3_64devices_2GB.json,64,64,2114838528.0,1943011328,2147483648,135349665792
layer1_group0_32devices_1MB,0,1,32,1MB,1048576,16,True,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS16_Layer1_0.csv,evaluation_assets/csv/synthetic/32devices/layer1_group0_32devices_1MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group0_32devices_1MB.json,32,32,1029632.0,999424,1048576,32948224
layer1_group1_32devices_1MB,1,1,32,1MB,1048576,16,True,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS16_Layer1_1.csv,evaluation_assets/csv/synthetic/32devices/layer1_group1_32devices_1MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group1_32devices_1MB.json,32,32,1035392.0,1011712,1048576,33132544
layer1_group2_32devices_1MB,2,1,32,1MB,1048576,16,True,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS16_Layer1_2.csv,evaluation_assets/csv/synthetic/32devices/layer1_group2_32devices_1MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group2_32devices_1MB.json,32,32,1030528.0,999424,1048576,32976896
layer1_group3_32devices_1MB,3,1,32,1MB,1048576,16,True,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS16_Layer1_3.csv,evaluation_assets/csv/synthetic/32devices/layer1_group3_32devices_1MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group3_32devices_1MB.json,32,32,1034368.0,987136,1048576,33099776
layer1_group0_32devices_8MB,0,1,32,8MB,8388608,128,True,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS128_Layer1_0.csv,evaluation_assets/csv/synthetic/32devices/layer1_group0_32devices_8MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group0_32devices_8MB.json,32,32,8239232.0,7688192,8359936,263655424
layer1_group1_32devices_8MB,1,1,32,8MB,8388608,128,True,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS128_Layer1_1.csv,evaluation_assets/csv/synthetic/32devices/layer1_group1_32devices_8MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group1_32devices_8MB.json,32,32,8227584.0,7344128,8388608,263282688
layer1_group2_32devices_8MB,2,1,32,8MB,8388608,128,True,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS128_Layer1_2.csv,evaluation_assets/csv/synthetic/32devices/layer1_group2_32devices_8MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group2_32devices_8MB.json,32,32,8264192.0,7991296,8368128,264454144
layer1_group3_32devices_8MB,3,1,32,8MB,8388608,128,True,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS128_Layer1_3.csv,evaluation_assets/csv/synthetic/32devices/layer1_group3_32devices_8MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group3_32devices_8MB.json,32,32,8262400.0,7909376,8384512,264396800
layer1_group0_32devices_64MB,0,1,32,64MB,67108864,512,True,2,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_0.csv,evaluation_assets/csv/synthetic/32devices/layer1_group0_32devices_64MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group0_32devices_64MB.json,32,32,65986816.0,61865984,66985984,2111578112
layer1_group1_32devices_64MB,1,1,32,64MB,67108864,512,True,2,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_1.csv,evaluation_assets/csv/synthetic/32devices/layer1_group1_32devices_64MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group1_32devices_64MB.json,32,32,66098944.0,63602688,66994176,2115166208
layer1_group2_32devices_64MB,2,1,32,64MB,67108864,512,True,2,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_2.csv,evaluation_assets/csv/synthetic/32devices/layer1_group2_32devices_64MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group2_32devices_64MB.json,32,32,66062592.0,63143936,67010560,2114002944
layer1_group3_32devices_64MB,3,1,32,64MB,67108864,512,True,2,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_3.csv,evaluation_assets/csv/synthetic/32devices/layer1_group3_32devices_64MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group3_32devices_64MB.json,32,32,66088704.0,63807488,67002368,2114838528
layer1_group0_32devices_256MB,0,1,32,256MB,268435456,512,True,8,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_0.csv,evaluation_assets/csv/synthetic/32devices/layer1_group0_32devices_256MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group0_32devices_256MB.json,32,32,263947264.0,247463936,267943936,8446312448
layer1_group1_32devices_256MB,1,1,32,256MB,268435456,512,True,8,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_1.csv,evaluation_assets/csv/synthetic/32devices/layer1_group1_32devices_256MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group1_32devices_256MB.json,32,32,264395776.0,254410752,267976704,8460664832
layer1_group2_32devices_256MB,2,1,32,256MB,268435456,512,True,8,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_2.csv,evaluation_assets/csv/synthetic/32devices/layer1_group2_32devices_256MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group2_32devices_256MB.json,32,32,264250368.0,252575744,268042240,8456011776
layer1_group3_32devices_256MB,3,1,32,256MB,268435456,512,True,8,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_3.csv,evaluation_assets/csv/synthetic/32devices/layer1_group3_32devices_256MB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group3_32devices_256MB.json,32,32,264354816.0,255229952,268009472,8459354112
layer1_group0_32devices_2GB,0,1,32,2GB,2147483648,512,True,64,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_0.csv,evaluation_assets/csv/synthetic/32devices/layer1_group0_32devices_2GB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group0_32devices_2GB.json,32,32,2111578112.0,1979711488,2143551488,67570499584
layer1_group1_32devices_2GB,1,1,32,2GB,2147483648,512,True,64,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_1.csv,evaluation_assets/csv/synthetic/32devices/layer1_group1_32devices_2GB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group1_32devices_2GB.json,32,32,2115166208.0,2035286016,2143813632,67685318656
layer1_group2_32devices_2GB,2,1,32,2GB,2147483648,512,True,64,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_2.csv,evaluation_assets/csv/synthetic/32devices/layer1_group2_32devices_2GB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group2_32devices_2GB.json,32,32,2114002944.0,2020605952,2144337920,67648094208
layer1_group3_32devices_2GB,3,1,32,2GB,2147483648,512,True,64,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_3.csv,evaluation_assets/csv/synthetic/32devices/layer1_group3_32devices_2GB.csv,evaluation_assets/collectives/synthetic/32devices/layer1_group3_32devices_2GB.json,32,32,2114838528.0,2041839616,2144075776,67674832896
